Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1015,ayumu.hirano@example.com,partially_refunded,2025-07-19 01:52:38 -0400,fulfilled,2025-07-19 02:04:45 -0400,no,USD,17.98,0.00,0.00,17.98,"",0.00,"",2025-07-19 01:52:38 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Pink,10.99,11.99,L-100BK-1,true,true,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,rKBN2hvaHBHnMQpwCwTgZf7W5,6.99,plug546,0.00,PLUGBOOKS Admin,Shop location,,6324218659049,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,rKBN2hvaHBHnMQpwCwTgZf7W5,,,rKBN2hvaHBHnMQpwCwTgZf7W5 + #1015.2
#1015,ayumu.hirano@example.com,,,,,,,,,,,,,,2025-07-19 01:52:38 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Pink Bling,6.99,"",FS-31PB,true,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,+16135550127,,,,,,,,
#1014,,refunded,2025-07-19 01:49:16 -0400,fulfilled,2025-07-19 01:49:39 -0400,no,USD,10.99,0.00,0.00,10.99,"",0.00,"",2025-07-19 01:49:15 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Green Zombie,10.99,11.99,L-100BK-28,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rjBv1qYn6Ae2It7yN7k7ERShM,10.99,plug546,0.00,PLUGBOOKS Admin,Shop location,,6324216725737,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rjBv1qYn6Ae2It7yN7k7ERShM,,,rjBv1qYn6Ae2It7yN7k7ERShM + #1014.2
#1013,,refunded,2025-07-17 02:53:37 -0400,unfulfilled,,no,USD,20.97,0.00,0.00,20.97,"",0.00,"",2025-07-17 02:53:37 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Pink,6.99,,FS-31PK,true,true,pending,,,,,,,,,,,,,,,,,,,,,,"",2025-07-17 05:22:22 -0400,manual,rAvE1Xt02LL9IlpAb5KTp0lp3,20.97,FS Boxing Inc,0.00,PLUGBOOKS Admin,Shop location,,6319938011369,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rAvE1Xt02LL9IlpAb5KTp0lp3,,,rAvE1Xt02LL9IlpAb5KTp0lp3 + #1013.2
#1013,,,,,,,,,,,,,,,2025-07-17 02:53:37 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Purple Bling,6.99,"",FS-31PRRB,true,false,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1013,,,,,,,,,,,,,,,2025-07-17 02:53:37 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Gold,6.99,"",FS-31GLD,true,false,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1012,,refunded,2025-07-17 02:41:10 -0400,unfulfilled,,no,USD,10.99,0.00,0.00,10.99,"",0.00,"",2025-07-17 02:41:10 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Pink,10.99,11.99,L-100BK-1,true,true,pending,,,,,,,,,,,,,,,,,,,,,,"",2025-07-17 02:42:08 -0400,manual,rjz9QetQHS0JdF4bDtDIv5dq2,10.99,plug546,0.00,PLUGBOOKS Admin,Shop location,,6319931457769,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rjz9QetQHS0JdF4bDtDIv5dq2,,,rjz9QetQHS0JdF4bDtDIv5dq2 + #1012.2
#1011,,paid,2025-06-25 02:15:07 -0400,unfulfilled,,no,USD,885.95,0.00,0.00,885.95,"",0.00,"",2025-06-25 02:15:07 -0400,1,The Videographer Snowboard,885.95,,,true,true,pending,,,,,,,,,,,,,,,,,,,,,,"",,manual,rD8aBwegcxqRaoDAdEfnP7O6r,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6287577350377,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rD8aBwegcxqRaoDAdEfnP7O6r,,,rD8aBwegcxqRaoDAdEfnP7O6r
#1010,,paid,2025-06-25 01:53:36 -0400,unfulfilled,,no,USD,2629.95,0.00,0.00,2629.95,"",0.00,"",2025-06-25 01:53:23 -0400,1,The 3p Fulfilled Snowboard,2629.95,,sku-hosted-1,true,true,pending,,,,,,,,,,,,,,,,,,,,,,"",,manual,#1010.1,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6287559000297,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,#1010.1,Due on receipt,,#1010.1
#1009,,paid,2025-06-25 01:50:01 -0400,unfulfilled,,no,USD,6.99,0.00,0.00,6.99,"",0.00,"",2025-06-25 01:50:01 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - s,6.99,,FS-31SF,true,true,pending,,,,,,,,,,,,,,,,,,,,,,"",,manual,rLex572IAuJWDMdei7rVrVNz3,0.00,FS Boxing Inc,0.00,PLUGBOOKS Admin,Shop location,,6287556116713,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rLex572IAuJWDMdei7rVrVNz3,,,rLex572IAuJWDMdei7rVrVNz3
#1008,,paid,2025-06-24 05:46:15 -0400,fulfilled,2025-06-24 05:46:21 -0400,no,USD,10.99,0.00,0.00,10.99,"",0.00,"",2025-06-24 05:46:15 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Pink,10.99,11.99,L-100BK-1,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,r5nmqBod9y6lw9pB08kMkmcg9,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6286102528233,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,r5nmqBod9y6lw9pB08kMkmcg9,,,r5nmqBod9y6lw9pB08kMkmcg9
#1007,ayumu.hirano@example.com,paid,2025-06-24 05:34:02 -0400,fulfilled,2025-06-24 05:34:10 -0400,no,USD,729.95,0.00,0.00,729.95,"",0.00,"",2025-06-24 05:34:01 -0400,1,The Multi-location Snowboard,729.95,,,true,true,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,r47A80YPl3t8el91OeITOD85I,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6286091747561,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,r47A80YPl3t8el91OeITOD85I,,,r47A80YPl3t8el91OeITOD85I
#1006,,paid,2025-06-24 05:18:27 -0400,fulfilled,2025-06-24 05:18:35 -0400,no,USD,49.95,0.00,0.00,49.95,"",0.00,"",2025-06-24 05:18:27 -0400,1,Selling Plans Ski Wax - Special Selling Plans Ski Wax,49.95,,,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rbrQctjmt2UA6Wyb6VwoJCTYa,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6286078968041,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rbrQctjmt2UA6Wyb6VwoJCTYa,,,rbrQctjmt2UA6Wyb6VwoJCTYa
#1005,nomi992000@gmail.com,partially_refunded,2025-05-31 07:53:39 -0400,fulfilled,2025-05-31 08:02:39 -0400,no,USD,38.83,6.73,0.00,45.56,Custom discount,1.53,Custom,2025-05-31 07:50:59 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Pink,12.11,13.46,L-100BK-1,true,true,fulfilled,,,,,,,,,,,nouman Sultan,201 East Shiawassee Street,201 East Shiawassee Street,"","",Lansing,'48933,MI,US,"",,"",,manual,#1005.1,6.73,plug546,-0.03,PLUGBOOKS Admin,Shop location,,6252018630889,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,Michigan,#1005.1,Due on receipt,,#1005.1 + #1005.2
#1005,nomi992000@gmail.com,,,,,,,,,,,,,,2025-05-31 07:50:59 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Black,12.11,13.46,L-100BK-10,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,plug546,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1005,nomi992000@gmail.com,,,,,,,,,,,,,,2025-05-31 07:50:59 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Pink,8.07,"",FS-31PK,true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1005,nomi992000@gmail.com,,,,,,,,,,,,,,2025-05-31 07:50:59 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Pink Bling,8.07,"",FS-31PB,true,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1004,,paid,2025-05-31 07:54:25 -0400,fulfilled,2025-05-31 07:48:05 -0400,no,USD,13.98,0.00,0.00,13.98,"",0.00,"",2025-05-30 06:21:30 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Purple Bling,6.99,,FS-31PRRB,true,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,#1004.1,0.00,FS Boxing Inc,0.00,PLUGBOOKS Admin,Shop location,,6250499244265,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,#1004.1,Net 7,,#1004.1
#1004,,,,,,,,,,,,,,,2025-05-30 06:21:30 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Zombi,6.99,"",FS-31ZMB,true,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1003,ayumu.hirano@example.com,paid,2025-05-27 05:45:56 -0400,fulfilled,2025-05-27 05:46:11 -0400,no,USD,17.98,0.00,0.00,17.98,"",0.00,"",2025-05-27 05:45:56 -0400,1,Compact and Powerful Stun Gun for Reliable Self-Defense - Pink / Small / Rubber,10.99,11.99,L-100BK-1,true,true,fulfilled,Ayumu Hirano,,,,,,,,,,,,,,,,,,,,,"",,manual,re1QmjdlUwba6gH2pxXw6VcwF,0.00,plug546,0.00,PLUGBOOKS Admin,Shop location,,6246707298537,"",Low,shopify_draft_order,0.00,,,,,,,,,,,+16135550127,,,,,re1QmjdlUwba6gH2pxXw6VcwF,,,re1QmjdlUwba6gH2pxXw6VcwF
#1003,ayumu.hirano@example.com,,,,,,,,,,,,,,2025-05-27 05:45:56 -0400,1,Compact Police Grade Pepper Spray with Leather Pouch and Key Ring - Purple Bling,6.99,"",FS-31PRRB,true,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,FS Boxing Inc,,,,,,,,,0.00,,,,,,,,,,,+16135550127,,,,,,,,
#1002,nomi992000@gmail.com,paid,2025-05-27 02:17:51 -0400,fulfilled,2025-05-27 02:18:18 -0400,no,USD,1329.95,0.00,0.00,1329.95,"",0.00,"",2025-05-27 02:17:51 -0400,1,The Collection Snowboard: Hydrogen,600.00,,,true,true,fulfilled,"",,,,,,,,,,,,,,,,,,,,,"",,manual,rDvHDpBbROBfvtMOq8Lzl0gEW,0.00,Hydrogen Vendor,0.00,PLUGBOOKS Admin,Shop location,,6246596804841,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rDvHDpBbROBfvtMOq8Lzl0gEW,,,rDvHDpBbROBfvtMOq8Lzl0gEW
#1002,nomi992000@gmail.com,,,,,,,,,,,,,,2025-05-27 02:17:51 -0400,1,The Multi-location Snowboard,729.95,"","",true,true,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,plug546,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,,paid,2025-05-27 01:34:01 -0400,fulfilled,2025-05-27 01:39:46 -0400,no,USD,185.00,0.00,0.00,185.00,"",0.00,"",2025-05-27 01:34:01 -0400,1,Gift Card - $10,10.00,,,false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,"",,manual,rgytVCw4KuvFxGRO6lL6Pr8h8,0.00,Snowboard Vendor,0.00,PLUGBOOKS Admin,Shop location,,6246566953193,"",Low,shopify_draft_order,0.00,,,,,,,,,,,,,,,,rgytVCw4KuvFxGRO6lL6Pr8h8,,,rgytVCw4KuvFxGRO6lL6Pr8h8
#1001,,,,,,,,,,,,,,,2025-05-27 01:34:01 -0400,1,Gift Card - $25,25.00,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2025-05-27 01:34:01 -0400,1,Gift Card - $50,50.00,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1001,,,,,,,,,,,,,,,2025-05-27 01:34:01 -0400,1,Gift Card - $100,100.00,"","",false,false,fulfilled,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowboard Vendor,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
